Interval,Top Keyword,Count
2012Q1,Khan,25
2012Q1,India,20
2012Q1,Chennai,16
2012Q1,Kapoor,14
2012Q1,Shah,13
2012Q1,Trophy,11
2012Q1,Mumbai,10
2012Q1,Bollywood,8
2012Q1,Facebook,8
2012Q1,real,8
2012Q1,Open,7
2012Q1,Raj,7
2012Q1,Sri,7
2012Q1,Sunny,6
2012Q1,Pakistan,6
2012Q1,Cho,6
2012Q1,She,6
2012Q1,Pan,6
2012Q1,item,6
2012Q1,Delhi,6
2012Q1,Bangalore,6
2012Q1,Lanka,6
2012Q1,Maharashtra,5
2012Q1,Kumar,5
2012Q1,Leone,5
2012Q1,San,5
2012Q1,laptop,5
2012Q1,Pune,5
2012Q1,Cha,5
2012Q1,Twitter,5
2012Q1,Film,5
2012Q1,Awards,5
2012Q1,crore,5
2012Q1,property,5
2012Q1,day,4
2012Q1,Sal,4
2012Q1,Deep,4
2012Q1,Babu,4
2012Q1,girl,4
2012Q1,Mall,4
2012Q1,number,4
2012Q1,love,4
2012Q1,Mal,4
2012Q1,Singh,4
2012Q1,Air,4
2012Q1,Vijay,4
2012Q1,estate,4
2012Q1,hot,3
2012Q1,Mad,3
2012Q1,New,3
2012Q2,Delhi,20
2012Q2,Chennai,19
2012Q2,Mumbai,19
2012Q2,Khan,17
2012Q2,Pune,14
2012Q2,India,14
2012Q2,Bangalore,11
2012Q2,real,10
2012Q2,Bollywood,9
2012Q2,murder,9
2012Q2,Hyderabad,9
2012Q2,property,8
2012Q2,Kolkata,7
2012Q2,loan,7
2012Q2,Shah,6
2012Q2,World,6
2012Q2,Pradesh,6
2012Q2,Kumar,6
2012Q2,time,6
2012Q2,Sur,6
2012Q2,Singh,6
2012Q2,Pakistan,6
2012Q2,power,6
2012Q2,Andhra,5
2012Q2,tax,5
2012Q2,life,5
2012Q2,home,5
2012Q2,Trip,5
2012Q2,Tamil,5
2012Q2,Raj,5
2012Q2,Super,4
2012Q2,Bach,4
2012Q2,London,4
2012Q2,Ten,4
2012Q2,crore,4
2012Q2,Sai,4
2012Q2,Nadu,4
2012Q2,man,4
2012Q2,Corporation,4
2012Q2,retail,4
2012Q2,Sang,4
2012Q2,Day,4
2012Q2,Kings,3
2012Q2,Dev,3
2012Q2,Sun,3
2012Q2,She,3
2012Q2,Son,3
2012Q2,Cho,3
2012Q2,Ram,3
2012Q2,Gujarat,3
2012Q3,Bangalore,25
2012Q3,India,25
2012Q3,Delhi,22
2012Q3,Mumbai,21
2012Q3,Hyderabad,16
2012Q3,Khan,13
2012Q3,London,13
2012Q3,Singh,12
2012Q3,office,9
2012Q3,Pune,9
2012Q3,Man,9
2012Q3,Sai,9
2012Q3,real,9
2012Q3,time,8
2012Q3,Chennai,8
2012Q3,Gujarat,8
2012Q3,Cup,8
2012Q3,land,7
2012Q3,Maharashtra,7
2012Q3,court,6
2012Q3,Pradesh,6
2012Q3,Kumar,6
2012Q3,housing,6
2012Q3,Andhra,5
2012Q3,Office,5
2012Q3,space,5
2012Q3,Ram,5
2012Q3,Vijay,5
2012Q3,World,5
2012Q3,Bollywood,5
2012Q3,China,5
2012Q3,Olympics,5
2012Q3,property,5
2012Q3,Karnataka,5
2012Q3,Raj,4
2012Q3,life,4
2012Q3,crore,4
2012Q3,Sunny,4
2012Q3,mole,4
2012Q3,Corporation,4
2012Q3,Open,4
2012Q3,government,4
2012Q3,Telangana,4
2012Q3,Vishnu,3
2012Q3,Indian,3
2012Q3,Research,3
2012Q3,King,3
2012Q3,Airlines,3
2012Q3,Mal,3
2012Q3,Air,3
2012Q4,Mumbai,34
2012Q4,Delhi,29
2012Q4,India,22
2012Q4,Bangalore,21
2012Q4,real,17
2012Q4,Pune,16
2012Q4,Hyderabad,13
2012Q4,property,12
2012Q4,Chennai,11
2012Q4,housing,10
2012Q4,crore,9
2012Q4,Singh,8
2012Q4,Maharashtra,7
2012Q4,office,7
2012Q4,Ten,7
2012Q4,Khan,6
2012Q4,rape,6
2012Q4,luxury,6
2012Q4,tax,6
2012Q4,Gandhi,5
2012Q4,home,5
2012Q4,time,5
2012Q4,Ahmed,5
2012Q4,parking,5
2012Q4,Sai,5
2012Q4,Man,5
2012Q4,estate,5
2012Q4,Gujarat,5
2012Q4,World,4
2012Q4,Twenty20,4
2012Q4,University,4
2012Q4,Cho,4
2012Q4,Kerala,4
2012Q4,Trophy,4
2012Q4,China,4
2012Q4,Air,4
2012Q4,murder,4
2012Q4,space,4
2012Q4,Raj,4
2012Q4,New,4
2012Q4,Year,4
2012Q4,man,3
2012Q4,Vijay,3
